prompt_id,dataset,dataset_label,item_id,scale_id,weak,strong,weak_surface,strong_surface,pos,template_id,scalar_construction,human_si_rate,has_hu_test_suite,source_file,weak_sentence_frame,weak_surface_in_sentence,target_text,context_text,continuation_text,moved_prompt_boundary_text,suffix_text,prompt_with_blank,full_text,prompt_source,weak_extraction_method,stronger_surface_method,prompt_builder_note,score_target,score_family,context_has_trailing_space,continuation_has_leading_space
pvt21__pvt21_010__template_default__comfortable_luxurious__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_010,comfortable/luxurious,comfortable,luxurious,comfortable,luxurious,adj,default,"The accommodations were comfortable, but not luxurious.",0.5,True,cross-scale/human_data/pvt21.csv,The accommodations were comfortable.,comfortable,luxurious,The accommodations were, luxurious, ,.,The accommodations were ___.,The accommodations were luxurious.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_011__template_default__cool_cold__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_011,cool/cold,cool,cold,cool,cold,adj,default,"The nights were cool, but not cold.",0.357142857,True,cross-scale/human_data/pvt21.csv,The nights were cool.,cool,cold,The nights were, cold, ,.,The nights were ___.,The nights were cold.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_012__template_default__cute_beautiful__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_012,cute/beautiful,cute,beautiful,cute,beautiful,adj,default,"His girlfriend was cute, but not beautiful.",0.135135135,True,cross-scale/human_data/pvt21.csv,His girlfriend was cute.,cute,beautiful,His girlfriend was, beautiful, ,.,His girlfriend was ___.,His girlfriend was beautiful.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_013__template_default__damp_wet__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_013,damp/wet,damp,wet,damp,wet,adj,default,"The sand was damp, but not wet.",0.111111111,True,cross-scale/human_data/pvt21.csv,The sand was damp.,damp,wet,The sand was, wet, ,.,The sand was ___.,The sand was wet.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_014__template_default__dark_black__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_014,dark/black,dark,black,dark,black,adj,default,"The sky was dark, but not black.",0.227272727,True,cross-scale/human_data/pvt21.csv,The sky was dark.,dark,black,The sky was, black, ,.,The sky was ___.,The sky was black.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_015__template_default__decent_great__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_015,decent/great,decent,great,decent,great,adj,default,"His haircut was decent, but not great.",0.5,True,cross-scale/human_data/pvt21.csv,His haircut was decent.,decent,great,His haircut was, great, ,.,His haircut was ___.,His haircut was great.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_016__template_default__dry_arid__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_016,dry/arid,dry,arid,dry,arid,adj,default,"The climate was dry, but not arid.",0.137254902,True,cross-scale/human_data/pvt21.csv,The climate was dry.,dry,arid,The climate was, arid, ,.,The climate was ___.,The climate was arid.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_017__template_default__elegant_ostentatious__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_017,elegant/ostentatious,elegant,ostentatious,elegant,ostentatious,adj,default,"The decor was elegant, but not ostentatious.",0.552631579,True,cross-scale/human_data/pvt21.csv,The decor was elegant.,elegant,ostentatious,The decor was, ostentatious, ,.,The decor was ___.,The decor was ostentatious.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_018__template_default__emotional_sentimental__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_018,emotional/sentimental,emotional,sentimental,emotional,sentimental,adj,default,"The film was emotional, but not sentimental.",0.058823529,True,cross-scale/human_data/pvt21.csv,The film was emotional.,emotional,sentimental,The film was, sentimental, ,.,The film was ___.,The film was sentimental.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_019__template_default__enjoyable_great__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_019,enjoyable/great,enjoyable,great,enjoyable,great,adj,default,"The novel was enjoyable, but not great.",0.135135135,True,cross-scale/human_data/pvt21.csv,The novel was enjoyable.,enjoyable,great,The novel was, great, ,.,The novel was ___.,The novel was great.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_020__template_default__evil_satanic__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_020,evil/satanic,evil,satanic,evil,satanic,adj,default,"The cult was evil, but not satanic.",0.25,True,cross-scale/human_data/pvt21.csv,The cult was evil.,evil,satanic,The cult was, satanic, ,.,The cult was ___.,The cult was satanic.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_021__template_default__fat_obese__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_021,fat/obese,fat,obese,fat,obese,adj,default,"The man was fat, but not obese.",0.107142857,True,cross-scale/human_data/pvt21.csv,The man was fat.,fat,obese,The man was, obese, ,.,The man was ___.,The man was obese.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_022__template_default__funny_hilarious__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_022,funny/hilarious,funny,hilarious,funny,hilarious,adj,default,"His response was funny, but not hilarious.",0.229166667,True,cross-scale/human_data/pvt21.csv,His response was funny.,funny,hilarious,His response was, hilarious, ,.,His response was ___.,His response was hilarious.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_023__template_default__grey_black__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_023,grey/black,grey,black,grey,black,adj,default,"The fabric was grey, but not black.",0.934782609,True,cross-scale/human_data/pvt21.csv,The fabric was grey.,grey,black,The fabric was, black, ,.,The fabric was ___.,The fabric was black.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_024__template_default__happy_ecstatic__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_024,happy/ecstatic,happy,ecstatic,happy,ecstatic,adj,default,"The crowd was happy, but not ecstatic.",0.243243243,True,cross-scale/human_data/pvt21.csv,The crowd was happy.,happy,ecstatic,The crowd was, ecstatic, ,.,The crowd was ___.,The crowd was ecstatic.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_025__template_default__honest_blunt__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_025,honest/blunt,honest,blunt,honest,blunt,adj,default,"The woman was honest, but not blunt.",0.191489362,True,cross-scale/human_data/pvt21.csv,The woman was honest.,honest,blunt,The woman was, blunt, ,.,The woman was ___.,The woman was blunt.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_026__template_default__hot_boiling__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_026,hot/boiling,hot,boiling,hot,boiling,adj,default,"The water was hot, but not boiling.",0.553191489,True,cross-scale/human_data/pvt21.csv,The water was hot.,hot,boiling,The water was, boiling, ,.,The water was ___.,The water was boiling.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_027__template_default__mysterious_magical__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_027,mysterious/magical,mysterious,magical,mysterious,magical,adj,default,"The results were mysterious, but not magical.",0.511111111,True,cross-scale/human_data/pvt21.csv,The results were mysterious.,mysterious,magical,The results were, magical, ,.,The results were ___.,The results were magical.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_028__template_default__nice_great__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_028,nice/great,nice,great,nice,great,adj,default,"The graphics were nice, but not great.",0.205128205,True,cross-scale/human_data/pvt21.csv,The graphics were nice.,nice,great,The graphics were, great, ,.,The graphics were ___.,The graphics were great.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_029__template_default__odd_bizarre__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_029,odd/bizarre,odd,bizarre,odd,bizarre,adj,default,"His idea was odd, but not bizarre.",0.2,True,cross-scale/human_data/pvt21.csv,His idea was odd.,odd,bizarre,His idea was, bizarre, ,.,His idea was ___.,His idea was bizarre.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_030__template_default__okay_great__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_030,okay/great,okay,great,okay,great,adj,default,"The melody was okay, but not great.",0.717948718,True,cross-scale/human_data/pvt21.csv,The melody was okay.,okay,great,The melody was, great, ,.,The melody was ___.,The melody was great.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_031__template_default__painful_deadly__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_031,painful/deadly,painful,deadly,painful,deadly,adj,default,"The sting was painful, but not deadly.",0.76744186,True,cross-scale/human_data/pvt21.csv,The sting was painful.,painful,deadly,The sting was, deadly, ,.,The sting was ___.,The sting was deadly.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_032__template_default__pale_white__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_032,pale/white,pale,white,pale,white,adj,default,"The paint was pale, but not white.",0.486486486,True,cross-scale/human_data/pvt21.csv,The paint was pale.,pale,white,The paint was, white, ,.,The paint was ___.,The paint was white.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_033__template_default__polite_friendly__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_033,polite/friendly,polite,friendly,polite,friendly,adj,default,"The staff were polite, but not friendly.",0.166666667,True,cross-scale/human_data/pvt21.csv,The staff were polite.,polite,friendly,The staff were, friendly, ,.,The staff were ___.,The staff were friendly.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_034__template_default__pretty_beautiful__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_034,pretty/beautiful,pretty,beautiful,pretty,beautiful,adj,default,"The village was pretty, but not beautiful.",0.097560976,True,cross-scale/human_data/pvt21.csv,The village was pretty.,pretty,beautiful,The village was, beautiful, ,.,The village was ___.,The village was beautiful.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_035__template_default__quiet_silent__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_035,quiet/silent,quiet,silent,quiet,silent,adj,default,"The boy was quiet, but not silent.",0.378378378,True,cross-scale/human_data/pvt21.csv,The boy was quiet.,quiet,silent,The boy was, silent, ,.,The boy was ___.,The boy was silent.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_036__template_default__red_scarlet__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_036,red/scarlet,red,scarlet,red,scarlet,adj,default,"His coat was red, but not scarlet.",0.23255814,True,cross-scale/human_data/pvt21.csv,His coat was red.,red,scarlet,His coat was, scarlet, ,.,His coat was ___.,His coat was scarlet.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_037__template_default__rough_unfriendly__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_037,rough/unfriendly,rough,unfriendly,rough,unfriendly,adj,default,"The service was rough, but not unfriendly.",0.5,True,cross-scale/human_data/pvt21.csv,The service was rough.,rough,unfriendly,The service was, unfriendly, ,.,The service was ___.,The service was unfriendly.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_038__template_default__sad_tragic__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_038,sad/tragic,sad,tragic,sad,tragic,adj,default,"His story was sad, but not tragic.",0.261904762,True,cross-scale/human_data/pvt21.csv,His story was sad.,sad,tragic,His story was, tragic, ,.,His story was ___.,His story was tragic.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_039__template_default__smart_brilliant__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_039,smart/brilliant,smart,brilliant,smart,brilliant,adj,default,"The writer was smart, but not brilliant.",0.068965517,True,cross-scale/human_data/pvt21.csv,The writer was smart.,smart,brilliant,The writer was, brilliant, ,.,The writer was ___.,The writer was brilliant.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_040__template_default__soft_mushy__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_040,soft/mushy,soft,mushy,soft,mushy,adj,default,"The banana was soft, but not mushy.",0.3125,True,cross-scale/human_data/pvt21.csv,The banana was soft.,soft,mushy,The banana was, mushy, ,.,The banana was ___.,The banana was mushy.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_041__template_default__thick_impenetrable__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_041,thick/impenetrable,thick,impenetrable,thick,impenetrable,adj,default,"The wall was thick, but not impenetrable.",0.431372549,True,cross-scale/human_data/pvt21.csv,The wall was thick.,thick,impenetrable,The wall was, impenetrable, ,.,The wall was ___.,The wall was impenetrable.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_042__template_default__thin_invisible__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_042,thin/invisible,thin,invisible,thin,invisible,adj,default,"The line was thin, but not invisible.",0.902439024,True,cross-scale/human_data/pvt21.csv,The line was thin.,thin,invisible,The line was, invisible, ,.,The line was ___.,The line was invisible.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_043__template_default__tiny_imperceptible__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_043,tiny/imperceptible,tiny,imperceptible,tiny,imperceptible,adj,default,"The movement was tiny, but not imperceptible.",0.558823529,True,cross-scale/human_data/pvt21.csv,The movement was tiny.,tiny,imperceptible,The movement was, imperceptible, ,.,The movement was ___.,The movement was imperceptible.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_044__template_default__tough_impossible__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_044,tough/impossible,tough,impossible,tough,impossible,adj,default,"The test was tough, but not impossible.",0.870967742,True,cross-scale/human_data/pvt21.csv,The test was tough.,tough,impossible,The test was, impossible, ,.,The test was ___.,The test was impossible.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_045__template_default__uncomfortable_painful__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_045,uncomfortable/painful,uncomfortable,painful,uncomfortable,painful,adj,default,"The conversation was uncomfortable, but not painful.",0.25,True,cross-scale/human_data/pvt21.csv,The conversation was uncomfortable.,uncomfortable,painful,The conversation was, painful, ,.,The conversation was ___.,The conversation was painful.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_046__template_default__warm_hot__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_046,warm/hot,warm,hot,warm,hot,adj,default,"The engine was warm, but not hot.",0.380952381,True,cross-scale/human_data/pvt21.csv,The engine was warm.,warm,hot,The engine was, hot, ,.,The engine was ___.,The engine was hot.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_047__template_default__weird_alien__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_047,weird/alien,weird,alien,weird,alien,adj,default,"The idea was weird, but not alien.",0.130434783,True,cross-scale/human_data/pvt21.csv,The idea was weird.,weird,alien,The idea was, alien, ,.,The idea was ___.,The idea was alien.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_048__template_default__wet_sopping__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_048,wet/sopping,wet,sopping,wet,sopping,adj,default,"His clothing was wet, but not sopping.",0.325,True,cross-scale/human_data/pvt21.csv,His clothing was wet.,wet,sopping,His clothing was, sopping, ,.,His clothing was ___.,His clothing was sopping.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_049__template_default__wonderful_perfect__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_049,wonderful/perfect,wonderful,perfect,wonderful,perfect,adj,default,"His performance was wonderful, but not perfect.",0.135135135,True,cross-scale/human_data/pvt21.csv,His performance was wonderful.,wonderful,perfect,His performance was, perfect, ,.,His performance was ___.,His performance was perfect.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
pvt21__pvt21_050__template_default__wrong_evil__no_frame,pvt21,Pankratz & van Tiel (2021),pvt21_050,wrong/evil,wrong,evil,wrong,evil,adj,default,"His choices were wrong, but not evil.",0.327586207,True,cross-scale/human_data/pvt21.csv,His choices were wrong.,wrong,evil,His choices were, evil, ,.,His choices were ___.,His choices were evil.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
rx22__rx22_001__template_default__allowed_obligatory__no_frame,rx22,Ronai & Xiang (2022),rx22_001,allowed/obligatory,allowed,obligatory,allowed,obligatory,adj,default,"Drinking is allowed, but not obligatory.",0.825,True,cross-scale/human_data/rx22.csv,Drinking is allowed.,allowed,obligatory,Drinking is, obligatory, ,.,Drinking is ___.,Drinking is obligatory.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
rx22__rx22_002__template_default__attractive_stunning__no_frame,rx22,Ronai & Xiang (2022),rx22_002,attractive/stunning,attractive,stunning,attractive,stunning,adj,default,"This model is attractive, but not stunning.",0.05,True,cross-scale/human_data/rx22.csv,This model is attractive.,attractive,stunning,This model is, stunning, ,.,This model is ___.,This model is stunning.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
rx22__rx22_003__template_default__begin_complete__no_frame,rx22,Ronai & Xiang (2022),rx22_003,begin/complete,begin,complete,begin,complete,verb,default,"John began the race, but did not complete it.",0.2,True,cross-scale/human_data/rx22.csv,John began the race.,began,completed,John, completed, , the race.,John ___ the race.,John completed the race.,weak_sentence_slot_from_first_clause,morphology_match,rx22_past_tense,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
rx22__rx22_004__template_default__believe_know__no_frame,rx22,Ronai & Xiang (2022),rx22_004,believe/know,believe,know,believe,know,verb,default,"The teacher believes it is true, but does not know.",0.625,True,cross-scale/human_data/rx22.csv,The teacher believes it is true.,believes,knows,The teacher, knows, , it is true.,The teacher ___ it is true.,The teacher knows it is true.,weak_sentence_slot_from_first_clause,morphology_match,rx22_third_person_singular,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
rx22__rx22_005__template_default__big_enormous__no_frame,rx22,Ronai & Xiang (2022),rx22_005,big/enormous,big,enormous,big,enormous,adj,default,"The elephant is big, but not enormous.",0.05,True,cross-scale/human_data/rx22.csv,The elephant is big.,big,enormous,The elephant is, enormous, ,.,The elephant is ___.,The elephant is enormous.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
rx22__rx22_006__template_default__cool_cold__no_frame,rx22,Ronai & Xiang (2022),rx22_006,cool/cold,cool,cold,cool,cold,adj,default,"The weather is cool, but not cold.",0.425,True,cross-scale/human_data/rx22.csv,The weather is cool.,cool,cold,The weather is, cold, ,.,The weather is ___.,The weather is cold.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
rx22__rx22_007__template_default__damage_destroy__no_frame,rx22,Ronai & Xiang (2022),rx22_007,damage/destroy,damage,destroy,damage,destroy,verb,default,"The machine might damage itself, but not destroy.",0.375,False,cross-scale/human_data/rx22.csv,The machine might damage itself.,damage,destroy,The machine might, destroy, , itself.,The machine might ___ itself.,The machine might destroy itself.,weak_sentence_slot_from_first_clause,exact_surface,rx22_base,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
rx22__rx22_008__template_default__dark_black__no_frame,rx22,Ronai & Xiang (2022),rx22_008,dark/black,dark,black,dark,black,adj,default,"The sky is dark, but not black.",0.275,True,cross-scale/human_data/rx22.csv,The sky is dark.,dark,black,The sky is, black, ,.,The sky is ___.,The sky is black.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
rx22__rx22_009__template_default__difficult_impossible__no_frame,rx22,Ronai & Xiang (2022),rx22_009,difficult/impossible,difficult,impossible,difficult,impossible,adj,default,"The task is difficult, but not impossible.",0.7,True,cross-scale/human_data/rx22.csv,The task is difficult.,difficult,impossible,The task is, impossible, ,.,The task is ___.,The task is impossible.,weak_sentence_slot_from_first_clause,exact_surface,source_strong_surface,"No-frame score: stronger alternative placed in the weaker item's first-clause slot, without the X-but-not-Y continuation frame.",no_frame_strong_scalemate,target_word_or_phrase_logprob,False,True
