prompt_id,dataset,dataset_label,item_id,scale_id,weak,strong,weak_surface,strong_surface,pos,template_id,scalar_construction,human_si_rate,has_hu_test_suite,source_file,context_text,target_text,continuation_text,suffix_text,full_text,prompt_source,hu_test_suite_path,hu_test_suite_item_number,prompt_builder_note,score_target,score_family,context_has_trailing_space,continuation_has_leading_space,target_token_ids,target_tokens,target_token_logprobs,target_n_tokens,target_logprob,model_name,model_path,resolved_model_path,torch_dtype,device_map
pvt21__pvt21_001__template_default__amazing_miraculous,pvt21,Pankratz & van Tiel (2021),pvt21_001,amazing/miraculous,amazing,miraculous,amazing,miraculous,adj,default,"His achievement was amazing, but not miraculous.",0.363636364,True,cross-scale/human_data/pvt21.csv,"His achievement was amazing, but not",miraculous, miraculous,.,"His achievement was amazing, but not miraculous.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/amazing_miraculous.json,1001,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[90713],"[""Ġmiraculous""]",[-5.397013187408447],1,-5.3970131874,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
pvt21__pvt21_002__template_default__angry_violent,pvt21,Pankratz & van Tiel (2021),pvt21_002,angry/violent,angry,violent,angry,violent,adj,default,"The character was angry, but not violent.",0.176470588,True,cross-scale/human_data/pvt21.csv,"The character was angry, but not",violent, violent,.,"The character was angry, but not violent.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/angry_violent.json,1002,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[16401],"[""Ġviolent""]",[-5.403765678405762],1,-5.4037656784,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
pvt21__pvt21_003__template_default__big_huge,pvt21,Pankratz & van Tiel (2021),pvt21_003,big/huge,big,huge,big,huge,adj,default,"The building was big, but not huge.",0.210526316,True,cross-scale/human_data/pvt21.csv,"The building was big, but not",huge, huge,.,"The building was big, but not huge.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/big_huge.json,69,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[6765],"[""Ġhuge""]",[-3.4845941066741943],1,-3.4845941067,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
pvt21__pvt21_004__template_default__bizarre_surreal,pvt21,Pankratz & van Tiel (2021),pvt21_004,bizarre/surreal,bizarre,surreal,bizarre,surreal,adj,default,"The movie was bizarre, but not surreal.",0.260869565,True,cross-scale/human_data/pvt21.csv,"The movie was bizarre, but not",surreal, surreal,.,"The movie was bizarre, but not surreal.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/bizarre_surreal.json,1003,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[64523],"[""Ġsurreal""]",[-7.758955955505371],1,-7.7589559555,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
pvt21__pvt21_005__template_default__bright_brilliant,pvt21,Pankratz & van Tiel (2021),pvt21_005,bright/brilliant,bright,brilliant,bright,brilliant,adj,default,"The student was bright, but not brilliant.",0.125,True,cross-scale/human_data/pvt21.csv,"The student was bright, but not",brilliant, brilliant,.,"The student was bright, but not brilliant.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/bright_brilliant.json,1004,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[19752],"[""Ġbrilliant""]",[-5.995615005493164],1,-5.9956150055,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
pvt21__pvt21_006__template_default__busy_full,pvt21,Pankratz & van Tiel (2021),pvt21_006,busy/full,busy,full,busy,full,adj,default,"The restaurant was busy, but not full.",0.2,True,cross-scale/human_data/pvt21.csv,"The restaurant was busy, but not",full, full,.,"The restaurant was busy, but not full.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/busy_full.json,35,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[2480],"[""Ġfull""]",[-2.6158406734466553],1,-2.6158406734,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
pvt21__pvt21_007__template_default__calm_meditative,pvt21,Pankratz & van Tiel (2021),pvt21_007,calm/meditative,calm,meditative,calm,meditative,adj,default,"The music was calm, but not meditative.",0.057142857,True,cross-scale/human_data/pvt21.csv,"The music was calm, but not",meditative, meditative,.,"The music was calm, but not meditative.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/calm_meditative.json,1005,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,"[1774,21312]","[""Ġmed"",""itative""]","[-6.621890068054199,-0.04068244248628616]",2,-6.6625725105,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
pvt21__pvt21_008__template_default__casual_sloppy,pvt21,Pankratz & van Tiel (2021),pvt21_008,casual/sloppy,casual,sloppy,casual,sloppy,adj,default,"His style was casual, but not sloppy.",0.517241379,True,cross-scale/human_data/pvt21.csv,"His style was casual, but not",sloppy, sloppy,.,"His style was casual, but not sloppy.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/casual_sloppy.json,332,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[73982],"[""Ġsloppy""]",[-2.651048421859741],1,-2.6510484219,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
pvt21__pvt21_009__template_default__cold_frosty,pvt21,Pankratz & van Tiel (2021),pvt21_009,cold/frosty,cold,frosty,cold,frosty,adj,default,"His tone was cold, but not frosty.",0.235294118,True,cross-scale/human_data/pvt21.csv,"His tone was cold, but not",frosty, frosty,.,"His tone was cold, but not frosty.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/cold_frosty.json,1006,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,"[44734,88]","[""Ġfrost"",""y""]","[-6.2820234298706055,-0.026043683290481567]",2,-6.3080671132,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
pvt21__pvt21_010__template_default__comfortable_luxurious,pvt21,Pankratz & van Tiel (2021),pvt21_010,comfortable/luxurious,comfortable,luxurious,comfortable,luxurious,adj,default,"The accommodations were comfortable, but not luxurious.",0.5,True,cross-scale/human_data/pvt21.csv,"The accommodations were comfortable, but not",luxurious, luxurious,.,"The accommodations were comfortable, but not luxurious.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/comfortable_luxurious.json,1007,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[42728],"[""Ġluxurious""]",[-0.9084692001342773],1,-0.9084692001,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
pvt21__pvt21_011__template_default__cool_cold,pvt21,Pankratz & van Tiel (2021),pvt21_011,cool/cold,cool,cold,cool,cold,adj,default,"The nights were cool, but not cold.",0.357142857,True,cross-scale/human_data/pvt21.csv,"The nights were cool, but not",cold, cold,.,"The nights were cool, but not cold.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/cool_cold.json,1008,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[9255],"[""Ġcold""]",[-0.7613536715507507],1,-0.7613536716,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
pvt21__pvt21_012__template_default__cute_beautiful,pvt21,Pankratz & van Tiel (2021),pvt21_012,cute/beautiful,cute,beautiful,cute,beautiful,adj,default,"His girlfriend was cute, but not beautiful.",0.135135135,True,cross-scale/human_data/pvt21.csv,"His girlfriend was cute, but not",beautiful, beautiful,.,"His girlfriend was cute, but not beautiful.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/cute_beautiful.json,1009,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[6233],"[""Ġbeautiful""]",[-3.9505696296691895],1,-3.9505696297,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
pvt21__pvt21_013__template_default__damp_wet,pvt21,Pankratz & van Tiel (2021),pvt21_013,damp/wet,damp,wet,damp,wet,adj,default,"The sand was damp, but not wet.",0.111111111,True,cross-scale/human_data/pvt21.csv,"The sand was damp, but not",wet, wet,.,"The sand was damp, but not wet.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/damp_wet.json,1010,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[14401],"[""Ġwet""]",[-1.4543591737747192],1,-1.4543591738,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
pvt21__pvt21_014__template_default__dark_black,pvt21,Pankratz & van Tiel (2021),pvt21_014,dark/black,dark,black,dark,black,adj,default,"The sky was dark, but not black.",0.227272727,True,cross-scale/human_data/pvt21.csv,"The sky was dark, but not",black, black,.,"The sky was dark, but not black.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/dark_black.json,39,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[3691],"[""Ġblack""]",[-2.432457447052002],1,-2.4324574471,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
pvt21__pvt21_015__template_default__decent_great,pvt21,Pankratz & van Tiel (2021),pvt21_015,decent/great,decent,great,decent,great,adj,default,"His haircut was decent, but not great.",0.5,True,cross-scale/human_data/pvt21.csv,"His haircut was decent, but not",great, great,.,"His haircut was decent, but not great.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/decent_great.json,4,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[2244],"[""Ġgreat""]",[-2.5918891429901123],1,-2.5918891430,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
pvt21__pvt21_016__template_default__dry_arid,pvt21,Pankratz & van Tiel (2021),pvt21_016,dry/arid,dry,arid,dry,arid,adj,default,"The climate was dry, but not arid.",0.137254902,True,cross-scale/human_data/pvt21.csv,"The climate was dry, but not",arid, arid,.,"The climate was dry, but not arid.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/dry_arid.json,1011,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,"[796,307]","[""Ġar"",""id""]","[-2.5346431732177734,-0.010251485742628574]",2,-2.5448946590,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
pvt21__pvt21_017__template_default__elegant_ostentatious,pvt21,Pankratz & van Tiel (2021),pvt21_017,elegant/ostentatious,elegant,ostentatious,elegant,ostentatious,adj,default,"The decor was elegant, but not ostentatious.",0.552631579,True,cross-scale/human_data/pvt21.csv,"The decor was elegant, but not",ostentatious, ostentatious,.,"The decor was elegant, but not ostentatious.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/elegant_ostentatious.json,1012,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,"[36896,306,266,1223]","[""Ġost"",""ent"",""at"",""ious""]","[-3.0291123390197754,-0.00048601735034026206,-0.003774068783968687,-0.0054929512552917]",4,-3.0388653764,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
pvt21__pvt21_018__template_default__emotional_sentimental,pvt21,Pankratz & van Tiel (2021),pvt21_018,emotional/sentimental,emotional,sentimental,emotional,sentimental,adj,default,"The film was emotional, but not sentimental.",0.058823529,True,cross-scale/human_data/pvt21.csv,"The film was emotional, but not",sentimental, sentimental,.,"The film was emotional, but not sentimental.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/emotional_sentimental.json,1013,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[91938],"[""Ġsentimental""]",[-3.325896978378296],1,-3.3258969784,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
pvt21__pvt21_019__template_default__enjoyable_great,pvt21,Pankratz & van Tiel (2021),pvt21_019,enjoyable/great,enjoyable,great,enjoyable,great,adj,default,"The novel was enjoyable, but not great.",0.135135135,True,cross-scale/human_data/pvt21.csv,"The novel was enjoyable, but not",great, great,.,"The novel was enjoyable, but not great.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/enjoyable_great.json,4,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[2244],"[""Ġgreat""]",[-3.2279229164123535],1,-3.2279229164,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
pvt21__pvt21_020__template_default__evil_satanic,pvt21,Pankratz & van Tiel (2021),pvt21_020,evil/satanic,evil,satanic,evil,satanic,adj,default,"The cult was evil, but not satanic.",0.25,True,cross-scale/human_data/pvt21.csv,"The cult was evil, but not",satanic, satanic,.,"The cult was evil, but not satanic.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/evil_satanic.json,1014,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,"[7578,31270]","[""Ġsat"",""anic""]","[-5.058436393737793,-0.0881294310092926]",2,-5.1465658247,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
pvt21__pvt21_021__template_default__fat_obese,pvt21,Pankratz & van Tiel (2021),pvt21_021,fat/obese,fat,obese,fat,obese,adj,default,"The man was fat, but not obese.",0.107142857,True,cross-scale/human_data/pvt21.csv,"The man was fat, but not",obese, obese,.,"The man was fat, but not obese.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/fat_obese.json,1015,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[49220],"[""Ġobese""]",[-2.822554588317871],1,-2.8225545883,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
pvt21__pvt21_022__template_default__funny_hilarious,pvt21,Pankratz & van Tiel (2021),pvt21_022,funny/hilarious,funny,hilarious,funny,hilarious,adj,default,"His response was funny, but not hilarious.",0.229166667,True,cross-scale/human_data/pvt21.csv,"His response was funny, but not",hilarious, hilarious,.,"His response was funny, but not hilarious.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/funny_hilarious.json,265,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[40267],"[""Ġhilarious""]",[-6.850475311279297],1,-6.8504753113,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
pvt21__pvt21_023__template_default__grey_black,pvt21,Pankratz & van Tiel (2021),pvt21_023,grey/black,grey,black,grey,black,adj,default,"The fabric was grey, but not black.",0.934782609,True,cross-scale/human_data/pvt21.csv,"The fabric was grey, but not",black, black,.,"The fabric was grey, but not black.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/grey_black.json,39,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[3691],"[""Ġblack""]",[-4.026565074920654],1,-4.0265650749,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
pvt21__pvt21_024__template_default__happy_ecstatic,pvt21,Pankratz & van Tiel (2021),pvt21_024,happy/ecstatic,happy,ecstatic,happy,ecstatic,adj,default,"The crowd was happy, but not ecstatic.",0.243243243,True,cross-scale/human_data/pvt21.csv,"The crowd was happy, but not",ecstatic, ecstatic,.,"The crowd was happy, but not ecstatic.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/happy_ecstatic.json,595,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[97292],"[""Ġecstatic""]",[-3.4686694145202637],1,-3.4686694145,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
pvt21__pvt21_025__template_default__honest_blunt,pvt21,Pankratz & van Tiel (2021),pvt21_025,honest/blunt,honest,blunt,honest,blunt,adj,default,"The woman was honest, but not blunt.",0.191489362,True,cross-scale/human_data/pvt21.csv,"The woman was honest, but not",blunt, blunt,.,"The woman was honest, but not blunt.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/honest_blunt.json,1016,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[48670],"[""Ġblunt""]",[-7.603856563568115],1,-7.6038565636,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
pvt21__pvt21_026__template_default__hot_boiling,pvt21,Pankratz & van Tiel (2021),pvt21_026,hot/boiling,hot,boiling,hot,boiling,adj,default,"The water was hot, but not boiling.",0.553191489,True,cross-scale/human_data/pvt21.csv,"The water was hot, but not",boiling, boiling,.,"The water was hot, but not boiling.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/hot_boiling.json,1017,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[49837],"[""Ġboiling""]",[-3.0935263633728027],1,-3.0935263634,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
pvt21__pvt21_027__template_default__mysterious_magical,pvt21,Pankratz & van Tiel (2021),pvt21_027,mysterious/magical,mysterious,magical,mysterious,magical,adj,default,"The results were mysterious, but not magical.",0.511111111,True,cross-scale/human_data/pvt21.csv,"The results were mysterious, but not",magical, magical,.,"The results were mysterious, but not magical.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/mysterious_magical.json,1018,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[23702],"[""Ġmagical""]",[-5.66093111038208],1,-5.6609311104,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
pvt21__pvt21_028__template_default__nice_great,pvt21,Pankratz & van Tiel (2021),pvt21_028,nice/great,nice,great,nice,great,adj,default,"The graphics were nice, but not great.",0.205128205,True,cross-scale/human_data/pvt21.csv,"The graphics were nice, but not",great, great,.,"The graphics were nice, but not great.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/nice_great.json,4,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[2244],"[""Ġgreat""]",[-3.1011762619018555],1,-3.1011762619,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
pvt21__pvt21_029__template_default__odd_bizarre,pvt21,Pankratz & van Tiel (2021),pvt21_029,odd/bizarre,odd,bizarre,odd,bizarre,adj,default,"His idea was odd, but not bizarre.",0.2,True,cross-scale/human_data/pvt21.csv,"His idea was odd, but not",bizarre, bizarre,.,"His idea was odd, but not bizarre.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/odd_bizarre.json,1019,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[32188],"[""Ġbizarre""]",[-7.143062591552734],1,-7.1430625916,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
pvt21__pvt21_030__template_default__okay_great,pvt21,Pankratz & van Tiel (2021),pvt21_030,okay/great,okay,great,okay,great,adj,default,"The melody was okay, but not great.",0.717948718,True,cross-scale/human_data/pvt21.csv,"The melody was okay, but not",great, great,.,"The melody was okay, but not great.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/okay_great.json,4,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[2244],"[""Ġgreat""]",[-2.021604537963867],1,-2.0216045380,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
pvt21__pvt21_031__template_default__painful_deadly,pvt21,Pankratz & van Tiel (2021),pvt21_031,painful/deadly,painful,deadly,painful,deadly,adj,default,"The sting was painful, but not deadly.",0.76744186,True,cross-scale/human_data/pvt21.csv,"The sting was painful, but not",deadly, deadly,.,"The sting was painful, but not deadly.",hu_test_suite_region_5,data_raw/hu_et_al_2023/cross-scale/test_suites/pvt21/painful_deadly.json,1020,Target is region 5 (Alternative) from Hu SyntaxGym suite.,exact_strong_scalemate,target_word_or_phrase_logprob,False,True,[24142],"[""Ġdeadly""]",[-3.1035304069519043],1,-3.1035304070,Qwen/Qwen2-7B,/users/ljohnst7/data/ljohnst7/hf-cache/models--Qwen--Qwen2-7B,/oscar/data/rfeiman/ljohnst7/hf-cache/models--Qwen--Qwen2-7B/snapshots/453ed1575b739b5b03ce3758b23befdb0967f40e,auto,auto
