item_id,condition,sub_experiment,weaker_lemma,weaker_surface,stronger_lemma,stronger_surface_guess,question_target_type,question_target_surface_guess,answer_sentence_guess,answer_prompt_prefix_guess,answer_target_word_seen_by_participants,answer_suffix_after_target,question_source_statement_guess,question_sentence_guess,question_auxiliary,question_generation_method,prompt_prefix_for_qwen,prompt_with_blank,dialogue_with_stronger_answer_guess,reconstruction_note,needs_manual_review
32,Eweak,Weak QUD,palatable,palatable,delicious,delicious,weaker,palatable,The wine is palatable.,The wine is ,palatable,.,The wine is palatable.,Is the wine palatable?,is,aux_inversion,"Sue: Is the wine palatable?
Mary: The wine is ","Sue: Is the wine palatable?
Mary: The wine is ___.","Sue: Is the wine palatable?
Mary: The wine is delicious.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
32,Estrong,Strong QUD,palatable,palatable,delicious,delicious,stronger,delicious,The wine is palatable.,The wine is ,palatable,.,The wine is delicious.,Is the wine delicious?,is,aux_inversion,"Sue: Is the wine delicious?
Mary: The wine is ","Sue: Is the wine delicious?
Mary: The wine is ___.","Sue: Is the wine delicious?
Mary: The wine is delicious.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
33,Eweak,Weak QUD,partially,partially,completely,completely,weaker,partially,The tank is partially full.,The tank is ,partially, full.,The tank is partially full.,Is the tank partially full?,is,aux_inversion,"Sue: Is the tank partially full?
Mary: The tank is ","Sue: Is the tank partially full?
Mary: The tank is ___ full.","Sue: Is the tank partially full?
Mary: The tank is completely full.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
33,Estrong,Strong QUD,partially,partially,completely,completely,stronger,completely,The tank is partially full.,The tank is ,partially, full.,The tank is completely full.,Is the tank completely full?,is,aux_inversion,"Sue: Is the tank completely full?
Mary: The tank is ","Sue: Is the tank completely full?
Mary: The tank is ___ full.","Sue: Is the tank completely full?
Mary: The tank is completely full.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
34,Eweak,Weak QUD,permit,permits,require,requires,weaker,permits,The club permits dancing.,The club ,permits, dancing.,The club permits dancing.,Does the club permit dancing?,does,do_support,"Sue: Does the club permit dancing?
Mary: The club ","Sue: Does the club permit dancing?
Mary: The club ___ dancing.","Sue: Does the club permit dancing?
Mary: The club requires dancing.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
34,Estrong,Strong QUD,permit,permits,require,requires,stronger,requires,The club permits dancing.,The club ,permits, dancing.,The club requires dancing.,Does the club require dancing?,does,do_support,"Sue: Does the club require dancing?
Mary: The club ","Sue: Does the club require dancing?
Mary: The club ___ dancing.","Sue: Does the club require dancing?
Mary: The club requires dancing.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
35,Eweak,Weak QUD,polished,polished,impeccable,impeccable,weaker,polished,Ann's speech was polished.,Ann's speech was ,polished,.,Ann's speech was polished.,Was Ann's speech polished?,was,aux_inversion,"Sue: Was Ann's speech polished?
Mary: Ann's speech was ","Sue: Was Ann's speech polished?
Mary: Ann's speech was ___.","Sue: Was Ann's speech polished?
Mary: Ann's speech was impeccable.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
35,Estrong,Strong QUD,polished,polished,impeccable,impeccable,stronger,impeccable,Ann's speech was polished.,Ann's speech was ,polished,.,Ann's speech was impeccable.,Was Ann's speech impeccable?,was,aux_inversion,"Sue: Was Ann's speech impeccable?
Mary: Ann's speech was ","Sue: Was Ann's speech impeccable?
Mary: Ann's speech was ___.","Sue: Was Ann's speech impeccable?
Mary: Ann's speech was impeccable.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
36,Eweak,Weak QUD,possible,possible,certain,certain,weaker,possible,Success is possible.,Success is ,possible,.,Success is possible.,Is success possible?,is,aux_inversion,"Sue: Is success possible?
Mary: Success is ","Sue: Is success possible?
Mary: Success is ___.","Sue: Is success possible?
Mary: Success is certain.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
36,Estrong,Strong QUD,possible,possible,certain,certain,stronger,certain,Success is possible.,Success is ,possible,.,Success is certain.,Is success certain?,is,aux_inversion,"Sue: Is success certain?
Mary: Success is ","Sue: Is success certain?
Mary: Success is ___.","Sue: Is success certain?
Mary: Success is certain.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
37,Eweak,Weak QUD,pretty,pretty,beautiful,beautiful,weaker,pretty,The girl is pretty.,The girl is ,pretty,.,The girl is pretty.,Is the girl pretty?,is,aux_inversion,"Sue: Is the girl pretty?
Mary: The girl is ","Sue: Is the girl pretty?
Mary: The girl is ___.","Sue: Is the girl pretty?
Mary: The girl is beautiful.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
37,Estrong,Strong QUD,pretty,pretty,beautiful,beautiful,stronger,beautiful,The girl is pretty.,The girl is ,pretty,.,The girl is beautiful.,Is the girl beautiful?,is,aux_inversion,"Sue: Is the girl beautiful?
Mary: The girl is ","Sue: Is the girl beautiful?
Mary: The girl is ___.","Sue: Is the girl beautiful?
Mary: The girl is beautiful.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
38,Eweak,Weak QUD,primarily,primarily,exclusively,exclusively,weaker,primarily,The residents are primarily Greek.,The residents are ,primarily, Greek.,The residents are primarily Greek.,Are the residents primarily Greek?,are,aux_inversion,"Sue: Are the residents primarily Greek?
Mary: The residents are ","Sue: Are the residents primarily Greek?
Mary: The residents are ___ Greek.","Sue: Are the residents primarily Greek?
Mary: The residents are exclusively Greek.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
38,Estrong,Strong QUD,primarily,primarily,exclusively,exclusively,stronger,exclusively,The residents are primarily Greek.,The residents are ,primarily, Greek.,The residents are exclusively Greek.,Are the residents exclusively Greek?,are,aux_inversion,"Sue: Are the residents exclusively Greek?
Mary: The residents are ","Sue: Are the residents exclusively Greek?
Mary: The residents are ___ Greek.","Sue: Are the residents exclusively Greek?
Mary: The residents are exclusively Greek.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
39,Eweak,Weak QUD,probably,probably,necessarily,necessarily,weaker,probably,A delay will probably occur.,A delay will ,probably, occur.,A delay will probably occur.,Will a delay probably occur?,will,aux_inversion,"Sue: Will a delay probably occur?
Mary: A delay will ","Sue: Will a delay probably occur?
Mary: A delay will ___ occur.","Sue: Will a delay probably occur?
Mary: A delay will necessarily occur.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
39,Estrong,Strong QUD,probably,probably,necessarily,necessarily,stronger,necessarily,A delay will probably occur.,A delay will ,probably, occur.,A delay will necessarily occur.,Will a delay necessarily occur?,will,aux_inversion,"Sue: Will a delay necessarily occur?
Mary: A delay will ","Sue: Will a delay necessarily occur?
Mary: A delay will ___ occur.","Sue: Will a delay necessarily occur?
Mary: A delay will necessarily occur.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
40,Eweak,Weak QUD,reduce,reduced,eliminate,eliminated,weaker,reduced,The city reduced waste.,The city ,reduced, waste.,The city reduced waste.,Did the city reduce waste?,did,do_support,"Sue: Did the city reduce waste?
Mary: The city ","Sue: Did the city reduce waste?
Mary: The city ___ waste.","Sue: Did the city reduce waste?
Mary: The city eliminated waste.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
40,Estrong,Strong QUD,reduce,reduced,eliminate,eliminated,stronger,eliminated,The city reduced waste.,The city ,reduced, waste.,The city eliminated waste.,Did the city eliminate waste?,did,do_support,"Sue: Did the city eliminate waste?
Mary: The city ","Sue: Did the city eliminate waste?
Mary: The city ___ waste.","Sue: Did the city eliminate waste?
Mary: The city eliminated waste.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
41,Eweak,Weak QUD,scared,scared,petrified,petrified,weaker,scared,Stu's daughter was scared.,Stu's daughter was ,scared,.,Stu's daughter was scared.,Was Stu's daughter scared?,was,aux_inversion,"Sue: Was Stu's daughter scared?
Mary: Stu's daughter was ","Sue: Was Stu's daughter scared?
Mary: Stu's daughter was ___.","Sue: Was Stu's daughter scared?
Mary: Stu's daughter was petrified.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
41,Estrong,Strong QUD,scared,scared,petrified,petrified,stronger,petrified,Stu's daughter was scared.,Stu's daughter was ,scared,.,Stu's daughter was petrified.,Was Stu's daughter petrified?,was,aux_inversion,"Sue: Was Stu's daughter petrified?
Mary: Stu's daughter was ","Sue: Was Stu's daughter petrified?
Mary: Stu's daughter was ___.","Sue: Was Stu's daughter petrified?
Mary: Stu's daughter was petrified.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
42,Eweak,Weak QUD,serious,serious,life-threatening,life-threatening,weaker,serious,Kaye's illness was serious.,Kaye's illness was ,serious,.,Kaye's illness was serious.,Was Kaye's illness serious?,was,aux_inversion,"Sue: Was Kaye's illness serious?
Mary: Kaye's illness was ","Sue: Was Kaye's illness serious?
Mary: Kaye's illness was ___.","Sue: Was Kaye's illness serious?
Mary: Kaye's illness was life-threatening.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
42,Estrong,Strong QUD,serious,serious,life-threatening,life-threatening,stronger,life-threatening,Kaye's illness was serious.,Kaye's illness was ,serious,.,Kaye's illness was life-threatening.,Was Kaye's illness life-threatening?,was,aux_inversion,"Sue: Was Kaye's illness life-threatening?
Mary: Kaye's illness was ","Sue: Was Kaye's illness life-threatening?
Mary: Kaye's illness was ___.","Sue: Was Kaye's illness life-threatening?
Mary: Kaye's illness was life-threatening.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
43,Eweak,Weak QUD,similar,similar,identical,identical,weaker,similar,The two paintings are similar.,The two paintings are ,similar,.,The two paintings are similar.,Are the two paintings similar?,are,aux_inversion,"Sue: Are the two paintings similar?
Mary: The two paintings are ","Sue: Are the two paintings similar?
Mary: The two paintings are ___.","Sue: Are the two paintings similar?
Mary: The two paintings are identical.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
43,Estrong,Strong QUD,similar,similar,identical,identical,stronger,identical,The two paintings are similar.,The two paintings are ,similar,.,The two paintings are identical.,Are the two paintings identical?,are,aux_inversion,"Sue: Are the two paintings identical?
Mary: The two paintings are ","Sue: Are the two paintings identical?
Mary: The two paintings are ___.","Sue: Are the two paintings identical?
Mary: The two paintings are identical.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
44,Eweak,Weak QUD,slow,slowed,stop,stopped,weaker,slowed,The train slowed.,The train ,slowed,.,The train slowed.,Did the train slow down?,did,question_override,"Sue: Did the train slow down?
Mary: The train ","Sue: Did the train slow down?
Mary: The train ___.","Sue: Did the train slow down?
Mary: The train stopped.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
44,Estrong,Strong QUD,slow,slowed,stop,stopped,stronger,stopped,The train slowed.,The train ,slowed,.,The train stopped.,Did the train stop?,did,do_support,"Sue: Did the train stop?
Mary: The train ","Sue: Did the train stop?
Mary: The train ___.","Sue: Did the train stop?
Mary: The train stopped.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
45,Eweak,Weak QUD,small,small,tiny,tiny,weaker,small,The fish is small.,The fish is ,small,.,The fish is small.,Is the fish small?,is,aux_inversion,"Sue: Is the fish small?
Mary: The fish is ","Sue: Is the fish small?
Mary: The fish is ___.","Sue: Is the fish small?
Mary: The fish is tiny.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
45,Estrong,Strong QUD,small,small,tiny,tiny,stronger,tiny,The fish is small.,The fish is ,small,.,The fish is tiny.,Is the fish tiny?,is,aux_inversion,"Sue: Is the fish tiny?
Mary: The fish is ","Sue: Is the fish tiny?
Mary: The fish is ___.","Sue: Is the fish tiny?
Mary: The fish is tiny.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
46,Eweak,Weak QUD,snug,snug,tight,tight,weaker,snug,The shirt is snug.,The shirt is ,snug,.,The shirt is snug.,Is the shirt snug?,is,aux_inversion,"Sue: Is the shirt snug?
Mary: The shirt is ","Sue: Is the shirt snug?
Mary: The shirt is ___.","Sue: Is the shirt snug?
Mary: The shirt is tight.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
46,Estrong,Strong QUD,snug,snug,tight,tight,stronger,tight,The shirt is snug.,The shirt is ,snug,.,The shirt is tight.,Is the shirt tight?,is,aux_inversion,"Sue: Is the shirt tight?
Mary: The shirt is ","Sue: Is the shirt tight?
Mary: The shirt is ___.","Sue: Is the shirt tight?
Mary: The shirt is tight.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
47,Eweak,Weak QUD,some,some,all,all,weaker,some,Cecilia trusts some politicians.,Cecilia trusts ,some, politicians.,Cecilia trusts some politicians.,Does Cecilia trust some politicians?,does,do_support,"Sue: Does Cecilia trust some politicians?
Mary: Cecilia trusts ","Sue: Does Cecilia trust some politicians?
Mary: Cecilia trusts ___ politicians.","Sue: Does Cecilia trust some politicians?
Mary: Cecilia trusts all politicians.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
47,Estrong,Strong QUD,some,some,all,all,stronger,all,Cecilia trusts some politicians.,Cecilia trusts ,some, politicians.,Cecilia trusts all politicians.,Does Cecilia trust all politicians?,does,do_support,"Sue: Does Cecilia trust all politicians?
Mary: Cecilia trusts ","Sue: Does Cecilia trust all politicians?
Mary: Cecilia trusts ___ politicians.","Sue: Does Cecilia trust all politicians?
Mary: Cecilia trusts all politicians.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
48,Eweak,Weak QUD,start,started,finish,finished,weaker,started,The runner started.,The runner ,started,.,The runner started.,Did the runner start?,did,do_support,"Sue: Did the runner start?
Mary: The runner ","Sue: Did the runner start?
Mary: The runner ___.","Sue: Did the runner start?
Mary: The runner finished.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
48,Estrong,Strong QUD,start,started,finish,finished,stronger,finished,The runner started.,The runner ,started,.,The runner finished.,Did the runner finish?,did,do_support,"Sue: Did the runner finish?
Mary: The runner ","Sue: Did the runner finish?
Mary: The runner ___.","Sue: Did the runner finish?
Mary: The runner finished.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
49,Eweak,Weak QUD,survive,survived,thrive,thrived,weaker,survived,The plant survived.,The plant ,survived,.,The plant survived.,Did the plant survive?,did,do_support,"Sue: Did the plant survive?
Mary: The plant ","Sue: Did the plant survive?
Mary: The plant ___.","Sue: Did the plant survive?
Mary: The plant thrived.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
49,Estrong,Strong QUD,survive,survived,thrive,thrived,stronger,thrived,The plant survived.,The plant ,survived,.,The plant thrived.,Did the plant thrive?,did,do_support,"Sue: Did the plant thrive?
Mary: The plant ","Sue: Did the plant thrive?
Mary: The plant ___.","Sue: Did the plant thrive?
Mary: The plant thrived.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
50,Eweak,Weak QUD,tired,tired,exhausted,exhausted,weaker,tired,The worker is tired.,The worker is ,tired,.,The worker is tired.,Is the worker tired?,is,aux_inversion,"Sue: Is the worker tired?
Mary: The worker is ","Sue: Is the worker tired?
Mary: The worker is ___.","Sue: Is the worker tired?
Mary: The worker is exhausted.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
50,Estrong,Strong QUD,tired,tired,exhausted,exhausted,stronger,exhausted,The worker is tired.,The worker is ,tired,.,The worker is exhausted.,Is the worker exhausted?,is,aux_inversion,"Sue: Is the worker exhausted?
Mary: The worker is ","Sue: Is the worker exhausted?
Mary: The worker is ___.","Sue: Is the worker exhausted?
Mary: The worker is exhausted.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
51,Eweak,Weak QUD,tolerate,tolerate,encourage,encourage,weaker,tolerate,Joey's parents tolerate dating.,Joey's parents ,tolerate, dating.,Joey's parents tolerate dating.,Do Joey's parents tolerate dating?,do,do_support,"Sue: Do Joey's parents tolerate dating?
Mary: Joey's parents ","Sue: Do Joey's parents tolerate dating?
Mary: Joey's parents ___ dating.","Sue: Do Joey's parents tolerate dating?
Mary: Joey's parents encourage dating.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
51,Estrong,Strong QUD,tolerate,tolerate,encourage,encourage,stronger,encourage,Joey's parents tolerate dating.,Joey's parents ,tolerate, dating.,Joey's parents encourage dating.,Do Joey's parents encourage dating?,do,do_support,"Sue: Do Joey's parents encourage dating?
Mary: Joey's parents ","Sue: Do Joey's parents encourage dating?
Mary: Joey's parents ___ dating.","Sue: Do Joey's parents encourage dating?
Mary: Joey's parents encourage dating.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
52,Eweak,Weak QUD,try,tried,succeed,succeeded,weaker,tried,The candidate tried.,The candidate ,tried,.,The candidate tried.,Did the candidate try?,did,do_support,"Sue: Did the candidate try?
Mary: The candidate ","Sue: Did the candidate try?
Mary: The candidate ___.","Sue: Did the candidate try?
Mary: The candidate succeeded.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
52,Estrong,Strong QUD,try,tried,succeed,succeeded,stronger,succeeded,The candidate tried.,The candidate ,tried,.,The candidate succeeded.,Did the candidate succeed?,did,do_support,"Sue: Did the candidate succeed?
Mary: The candidate ","Sue: Did the candidate succeed?
Mary: The candidate ___.","Sue: Did the candidate succeed?
Mary: The candidate succeeded.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
53,Eweak,Weak QUD,ugly,ugly,hideous,hideous,weaker,ugly,The wallpaper is ugly.,The wallpaper is ,ugly,.,The wallpaper is ugly.,Is the wallpaper ugly?,is,aux_inversion,"Sue: Is the wallpaper ugly?
Mary: The wallpaper is ","Sue: Is the wallpaper ugly?
Mary: The wallpaper is ___.","Sue: Is the wallpaper ugly?
Mary: The wallpaper is hideous.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
53,Estrong,Strong QUD,ugly,ugly,hideous,hideous,stronger,hideous,The wallpaper is ugly.,The wallpaper is ,ugly,.,The wallpaper is hideous.,Is the wallpaper hideous?,is,aux_inversion,"Sue: Is the wallpaper hideous?
Mary: The wallpaper is ","Sue: Is the wallpaper hideous?
Mary: The wallpaper is ___.","Sue: Is the wallpaper hideous?
Mary: The wallpaper is hideous.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
54,Eweak,Weak QUD,understandable,understandable,articulate,articulate,weaker,understandable,Tom's interview was understandable.,Tom's interview was ,understandable,.,Tom's interview was understandable.,Was Tom's interview understandable?,was,aux_inversion,"Sue: Was Tom's interview understandable?
Mary: Tom's interview was ","Sue: Was Tom's interview understandable?
Mary: Tom's interview was ___.","Sue: Was Tom's interview understandable?
Mary: Tom's interview was articulate.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
54,Estrong,Strong QUD,understandable,understandable,articulate,articulate,stronger,articulate,Tom's interview was understandable.,Tom's interview was ,understandable,.,Tom's interview was articulate.,Was Tom's interview articulate?,was,aux_inversion,"Sue: Was Tom's interview articulate?
Mary: Tom's interview was ","Sue: Was Tom's interview articulate?
Mary: Tom's interview was ___.","Sue: Was Tom's interview articulate?
Mary: Tom's interview was articulate.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
55,Eweak,Weak QUD,unpleasant,unpleasant,disgusting,disgusting,weaker,unpleasant,Tim's bathroom was unpleasant.,Tim's bathroom was ,unpleasant,.,Tim's bathroom was unpleasant.,Was Tim's bathroom unpleasant?,was,aux_inversion,"Sue: Was Tim's bathroom unpleasant?
Mary: Tim's bathroom was ","Sue: Was Tim's bathroom unpleasant?
Mary: Tim's bathroom was ___.","Sue: Was Tim's bathroom unpleasant?
Mary: Tim's bathroom was disgusting.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
55,Estrong,Strong QUD,unpleasant,unpleasant,disgusting,disgusting,stronger,disgusting,Tim's bathroom was unpleasant.,Tim's bathroom was ,unpleasant,.,Tim's bathroom was disgusting.,Was Tim's bathroom disgusting?,was,aux_inversion,"Sue: Was Tim's bathroom disgusting?
Mary: Tim's bathroom was ","Sue: Was Tim's bathroom disgusting?
Mary: Tim's bathroom was ___.","Sue: Was Tim's bathroom disgusting?
Mary: Tim's bathroom was disgusting.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
56,Eweak,Weak QUD,usually,usually,always,always,weaker,usually,The lawyer is usually early.,The lawyer is ,usually, early.,The lawyer is usually early.,Is the lawyer usually early?,is,aux_inversion,"Sue: Is the lawyer usually early?
Mary: The lawyer is ","Sue: Is the lawyer usually early?
Mary: The lawyer is ___ early.","Sue: Is the lawyer usually early?
Mary: The lawyer is always early.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
56,Estrong,Strong QUD,usually,usually,always,always,stronger,always,The lawyer is usually early.,The lawyer is ,usually, early.,The lawyer is always early.,Is the lawyer always early?,is,aux_inversion,"Sue: Is the lawyer always early?
Mary: The lawyer is ","Sue: Is the lawyer always early?
Mary: The lawyer is ___ early.","Sue: Is the lawyer always early?
Mary: The lawyer is always early.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
57,Eweak,Weak QUD,want,wants,need,needs,weaker,wants,Phoebe wants a car.,Phoebe ,wants, a car.,Phoebe wants a car.,Does Phoebe want a car?,does,do_support,"Sue: Does Phoebe want a car?
Mary: Phoebe ","Sue: Does Phoebe want a car?
Mary: Phoebe ___ a car.","Sue: Does Phoebe want a car?
Mary: Phoebe needs a car.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
57,Estrong,Strong QUD,want,wants,need,needs,stronger,needs,Phoebe wants a car.,Phoebe ,wants, a car.,Phoebe needs a car.,Does Phoebe need a car?,does,do_support,"Sue: Does Phoebe need a car?
Mary: Phoebe ","Sue: Does Phoebe need a car?
Mary: Phoebe ___ a car.","Sue: Does Phoebe need a car?
Mary: Phoebe needs a car.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
58,Eweak,Weak QUD,warm,warm,hot,hot,weaker,warm,The wather is warm.,The wather is ,warm,.,The wather is warm.,Is the wather warm?,is,aux_inversion,"Sue: Is the wather warm?
Mary: The wather is ","Sue: Is the wather warm?
Mary: The wather is ___.","Sue: Is the wather warm?
Mary: The wather is hot.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
58,Estrong,Strong QUD,warm,warm,hot,hot,stronger,hot,The wather is warm.,The wather is ,warm,.,The wather is hot.,Is the wather hot?,is,aux_inversion,"Sue: Is the wather hot?
Mary: The wather is ","Sue: Is the wather hot?
Mary: The wather is ___.","Sue: Is the wather hot?
Mary: The wather is hot.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
59,Eweak,Weak QUD,well,well,superbly,superbly,weaker,well,The rehearsal went well.,The rehearsal went ,well,.,The rehearsal went well.,Did the rehearsal go well?,did,do_support,"Sue: Did the rehearsal go well?
Mary: The rehearsal went ","Sue: Did the rehearsal go well?
Mary: The rehearsal went ___.","Sue: Did the rehearsal go well?
Mary: The rehearsal went superbly.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
59,Estrong,Strong QUD,well,well,superbly,superbly,stronger,superbly,The rehearsal went well.,The rehearsal went ,well,.,The rehearsal went superbly.,Did the rehearsal go superbly?,did,do_support,"Sue: Did the rehearsal go superbly?
Mary: The rehearsal went ","Sue: Did the rehearsal go superbly?
Mary: The rehearsal went ___.","Sue: Did the rehearsal go superbly?
Mary: The rehearsal went superbly.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
60,Eweak,Weak QUD,willing,willing,eager,eager,weaker,willing,The waiter is willing.,The waiter is ,willing,.,The waiter is willing.,Is the waiter willing?,is,aux_inversion,"Sue: Is the waiter willing?
Mary: The waiter is ","Sue: Is the waiter willing?
Mary: The waiter is ___.","Sue: Is the waiter willing?
Mary: The waiter is eager.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
60,Estrong,Strong QUD,willing,willing,eager,eager,stronger,eager,The waiter is willing.,The waiter is ,willing,.,The waiter is eager.,Is the waiter eager?,is,aux_inversion,"Sue: Is the waiter eager?
Mary: The waiter is ","Sue: Is the waiter eager?
Mary: The waiter is ___.","Sue: Is the waiter eager?
Mary: The waiter is eager.",Question reconstructed from Experiment 1 materials; answer side conservatively reuses the Experiment 1 sentence context.,yes
