dataset,dataset_label,item_id,scale_id,weak,strong,weak_surface,strong_surface,pos,template_id,scalar_construction,human_si_rate,human_si_rate_original,human_si_rate_source_column,source_file,has_hu_test_suite,notes
rx22,Ronai & Xiang (2022),rx22_019,here/everywhere,here,everywhere,here,everywhere,adv,default,"There is water here, but not everywhere.",0.5,50.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_020,hungry/starving,hungry,starving,hungry,starving,adj,default,"The boy is hungry, but not starving.",0.2,20.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_021,intelligent/brilliant,intelligent,brilliant,intelligent,brilliant,adj,default,"The student is intelligent, but not brilliant.",0.05,5.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_022,intimidating/terrifying,intimidating,terrifying,intimidating,terrifying,adj,default,"Chris's opponent was intimidating, but not terrifying.",0.175,17.5,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_023,largely/totally,largely,totally,largely,totally,adv,default,"The coast was largely flooded, but not totally.",0.7,70.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_024,like/love,like,love,like,love,verb,default,"The princess likes dancing, but does not love it.",0.1,10.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_025,match/exceed,match,exceed,match,exceed,verb,default,"Bill's score matches Al's, but does not exceed it.",0.875,87.5,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_026,mostly/entirely,mostly,entirely,mostly,entirely,adv,default,"Peter's answers were mostly wrong, but not entirely.",0.875,87.5,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_027,old/ancient,old,ancient,old,ancient,adj,default,"The house is old, but not ancient.",0.325,32.5,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_028,once/twice,once,twice,once,twice,adv,default,"Mistakes happened once, but not twice.",0.7,70.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_029,or/and,or,and,or,and,conj,default,"Everyone saw Wonder Woman or Batman, but not and.",0.25,25.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,False,
rx22,Ronai & Xiang (2022),rx22_030,overweight/obese,overweight,obese,overweight,obese,adj,default,"The teenager is overweight, but not obese.",0.1,10.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_031,overwhelmingly/unanimously,overwhelmingly,unanimously,overwhelmingly,unanimously,adv,default,"The measure was supported overwhelmingly, but not unanimously.",0.6,60.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_032,palatable/delicious,palatable,delicious,palatable,delicious,adj,default,"The wine is palatable, but not delicious.",0.475,47.5,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_033,partially/completely,partially,completely,partially,completely,adv,default,"The tank is partially full, but not completely.",0.95,95.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_034,permit/require,permit,require,permit,require,verb,default,"The club permits dancing, but does not require it.",0.65,65.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_035,polished/impeccable,polished,impeccable,polished,impeccable,adj,default,"Ann's speech was polished, but not impeccable.",0.05,5.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_036,possible/certain,possible,certain,possible,certain,adj,default,"Success is possible, but not certain.",0.825,82.5,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_037,pretty/beautiful,pretty,beautiful,pretty,beautiful,adj,default,"The girl is pretty, but not beautiful.",0.075,7.5,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_038,primarily/exclusively,primarily,exclusively,primarily,exclusively,adv,default,"The residents are primarily Greek, but not exclusively.",0.775,77.5,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_039,probably/necessarily,probably,necessarily,probably,necessarily,adv,default,"A delay will probably occur, but not necessarily.",0.55,55.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_040,reduce/eliminate,reduce,eliminate,reduce,eliminate,verb,default,"The city reduced waste, but did not eliminate it.",0.8,80.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_041,scared/petrified,scared,petrified,scared,petrified,adj,default,"Stu's daughter was scared, but not petrified.",0.025,2.5,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_042,serious/life-threatening,serious,life-threatening,serious,life-threatening,adj,default,"Kaye's illness was serious, but not life-threatening.",0.075,7.5,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_043,similar/identical,similar,identical,similar,identical,adj,default,"The two paintings are similar, but not identical.",0.725,72.5,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_044,slow/stop,slow,stop,slow,stop,verb,default,"The train slowed, but did not stop.",0.825,82.5,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_045,small/tiny,small,tiny,small,tiny,adj,default,"The fish is small, but not tiny.",0.175,17.5,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_046,snug/tight,snug,tight,snug,tight,adj,default,"The shirt is snug, but not tight.",0.1,10.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_047,some/all,some,all,some,all,det,default,"Cecilia trusts some politicians, but not all.",0.925,92.5,SI percent (Exp 1),cross-scale/human_data/rx22.csv,False,
rx22,Ronai & Xiang (2022),rx22_048,start/finish,start,finish,start,finish,verb,default,"The runner started, but did not finish.",0.275,27.5,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_049,survive/thrive,survive,thrive,survive,thrive,verb,default,"The plant survived, but did not thrive.",0.25,25.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_050,tired/exhausted,tired,exhausted,tired,exhausted,adj,default,"The worker is tired, but not exhausted.",0.025,2.5,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_051,tolerate/encourage,tolerate,encourage,tolerate,encourage,verb,default,"Joey's parents tolerate dating, but do not encourage it.",0.65,65.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_052,try/succeed,try,succeed,try,succeed,verb,default,"The candidate tried, but did not succeed.",0.775,77.5,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_053,ugly/hideous,ugly,hideous,ugly,hideous,adj,default,"The wallpaper is ugly, but not hideous.",0.05,5.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_054,understandable/articulate,understandable,articulate,understandable,articulate,adj,default,"Tom's interview was understandable, but not articulate.",0.1,10.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_055,unpleasant/disgusting,unpleasant,disgusting,unpleasant,disgusting,adj,default,"Tim's bathroom was unpleasant, but not disgusting.",0.05,5.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_056,usually/always,usually,always,usually,always,adv,default,"The lawyer is usually early, but not always.",0.65,65.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_057,want/need,want,need,want,need,verb,default,"Phoebe wants a car, but does not need one.",0.15,15.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_058,warm/hot,warm,hot,warm,hot,adj,default,"The wather is warm, but not hot.",0.4,40.0,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_059,well/superbly,well,superbly,well,superbly,adv,default,"The rehearsal went well, but not superbly.",0.125,12.5,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
rx22,Ronai & Xiang (2022),rx22_060,willing/eager,willing,eager,willing,eager,adj,default,"The waiter is willing, but not eager.",0.075,7.5,SI percent (Exp 1),cross-scale/human_data/rx22.csv,True,
vt16,van Tiel et al. (2016),vt16_001_template1,adequate/good,adequate,good,adequate,good,adj,1,"the food is adequate, but not good.",0.32,32.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_001_template2,adequate/good,adequate,good,adequate,good,adj,2,"the salary is adequate, but not good.",0.32,32.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_001_template3,adequate/good,adequate,good,adequate,good,adj,3,"the solution is adequate, but not good.",0.32,32.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_002_template1,allowed/obligatory,allowed,obligatory,allowed,obligatory,adj,1,"copying is allowed, but not obligatory.",0.82,82.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_002_template2,allowed/obligatory,allowed,obligatory,allowed,obligatory,adj,2,"drinking is allowed, but not obligatory.",0.82,82.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_002_template3,allowed/obligatory,allowed,obligatory,allowed,obligatory,adj,3,"talking is allowed, but not obligatory.",0.82,82.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_003_template1,attractive/stunning,attractive,stunning,attractive,stunning,adj,1,"that nurse is attractive, but not stunning.",0.21,21.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_003_template2,attractive/stunning,attractive,stunning,attractive,stunning,adj,2,"this model is attractive, but not stunning.",0.21,21.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_003_template3,attractive/stunning,attractive,stunning,attractive,stunning,adj,3,"the singer is attractive, but not stunning.",0.21,21.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_004_template1,believe/know,believe,know,believes,knows,verb,1,"the student believes it, but does not know it.",0.61,61.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_004_template2,believe/know,believe,know,believes,knows,verb,2,"the mother believes it, but does not know it.",0.61,61.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_004_template3,believe/know,believe,know,believes,knows,verb,3,"the teacher believes it, but does not know it.",0.61,61.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_005_template1,big/enormous,big,enormous,big,enormous,adj,1,"that elephant is big, but not enormous.",0.21,21.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_005_template2,big/enormous,big,enormous,big,enormous,adj,2,"the house is big, but not enormous.",0.21,21.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_005_template3,big/enormous,big,enormous,big,enormous,adj,3,"that tree is big, but not enormous.",0.21,21.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_006_template1,cheap/free,cheap,free,cheap,free,adj,1,"the water is cheap, but not free.",0.93,93.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_006_template2,cheap/free,cheap,free,cheap,free,adj,2,"the electricity is cheap, but not free.",0.93,93.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_006_template3,cheap/free,cheap,free,cheap,free,adj,3,"the food is cheap, but not free.",0.93,93.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_007_template1,content/happy,content,happy,content,happy,adj,1,"this child is content, but not happy.",0.04,4.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_007_template2,content/happy,content,happy,content,happy,adj,2,"the homemaker is content, but not happy.",0.04,4.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_007_template3,content/happy,content,happy,content,happy,adj,3,"the musician is content, but not happy.",0.04,4.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_008_template1,cool/cold,cool,cold,cool,cold,adj,1,"the air is cool, but not cold.",0.46,46.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_008_template2,cool/cold,cool,cold,cool,cold,adj,2,"the weather is cool, but not cold.",0.46,46.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_008_template3,cool/cold,cool,cold,cool,cold,adj,3,"the room is cool, but not cold.",0.46,46.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_009_template1,dark/black,dark,black,dark,black,adj,1,"that fabric is dark, but not black.",0.29,29.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_009_template2,dark/black,dark,black,dark,black,adj,2,"the sky is dark, but not black.",0.29,29.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_009_template3,dark/black,dark,black,dark,black,adj,3,"the shirt is dark, but not black.",0.29,29.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_010_template1,difficult/impossible,difficult,impossible,difficult,impossible,adj,1,"the task is difficult, but not impossible.",0.96,96.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_010_template2,difficult/impossible,difficult,impossible,difficult,impossible,adj,2,"the journey is difficult, but not impossible.",0.96,96.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_010_template3,difficult/impossible,difficult,impossible,difficult,impossible,adj,3,"the problem is difficult, but not impossible.",0.96,96.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_011_template1,dislike/loathe,dislike,loathe,dislikes,loathes,verb,1,"the boy dislikes broccoli, but does not loathe it.",0.18,18.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_011_template2,dislike/loathe,dislike,loathe,dislikes,loathes,verb,2,"the teacher dislikes fighting, but does not loathe it.",0.18,18.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_011_template3,dislike/loathe,dislike,loathe,dislikes,loathes,verb,3,"the doctors dislike coffee, but do not loathe it.",0.18,18.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_012_template1,few/none,few,none,few,none,quant,1,"the biologist saw few of the birds, but not none of them.",0.54,54.0,si_nonneutral,cross-scale/human_data/vt16.csv,False,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_012_template2,few/none,few,none,few,none,quant,2,"the cop saw few of the children, but not none of them.",0.54,54.0,si_nonneutral,cross-scale/human_data/vt16.csv,False,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_012_template3,few/none,few,none,few,none,quant,3,"the observer saw few of the stars, but not none of them.",0.54,54.0,si_nonneutral,cross-scale/human_data/vt16.csv,False,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_013_template1,funny/hilarious,funny,hilarious,funny,hilarious,adj,1,"this joke is funny, but not hilarious.",0.29,29.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_013_template2,funny/hilarious,funny,hilarious,funny,hilarious,adj,2,"the play is funny, but not hilarious.",0.29,29.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_013_template3,funny/hilarious,funny,hilarious,funny,hilarious,adj,3,"this movie is funny, but not hilarious.",0.29,29.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_015_template1,good/excellent,good,excellent,good,excellent,adj,1,"the food is good, but not excellent.",0.32,32.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_015_template2,good/excellent,good,excellent,good,excellent,adj,2,"that movie is good, but not excellent.",0.32,32.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_015_template3,good/excellent,good,excellent,good,excellent,adj,3,"this sandwich is good, but not excellent.",0.32,32.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_014_template1,good/perfect,good,perfect,good,perfect,adj,1,"the layout is good, but not perfect.",0.39,39.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_014_template2,good/perfect,good,perfect,good,perfect,adj,2,"this solution is good, but not perfect.",0.39,39.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_014_template3,good/perfect,good,perfect,good,perfect,adj,3,"that answer is good, but not perfect.",0.39,39.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_016_template1,hard/unsolvable,hard,unsolvable,hard,unsolvable,adj,1,"that problem is hard, but not unsolvable.",0.71,71.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_016_template2,hard/unsolvable,hard,unsolvable,hard,unsolvable,adj,2,"the issue is hard, but not unsolvable.",0.71,71.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_016_template3,hard/unsolvable,hard,unsolvable,hard,unsolvable,adj,3,"the puzzle is hard, but not unsolvable.",0.71,71.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_017_template1,hungry/starving,hungry,starving,hungry,starving,adj,1,"the boy is hungry, but not starving.",0.25,25.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_017_template2,hungry/starving,hungry,starving,hungry,starving,adj,2,"the dog is hungry, but not starving.",0.25,25.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_017_template3,hungry/starving,hungry,starving,hungry,starving,adj,3,"the elephant is hungry, but not starving.",0.25,25.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_018_template1,intelligent/brilliant,intelligent,brilliant,intelligent,brilliant,adj,1,"the assistant is intelligent, but not brilliant.",0.07,7.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_018_template2,intelligent/brilliant,intelligent,brilliant,intelligent,brilliant,adj,2,"that professor is intelligent, but not brilliant.",0.07,7.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_018_template3,intelligent/brilliant,intelligent,brilliant,intelligent,brilliant,adj,3,"this student is intelligent, but not brilliant.",0.07,7.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_019_template1,like/love,like,love,likes,loves,verb,1,"the princess likes dancing, but does not love it.",0.25,25.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_019_template2,like/love,like,love,likes,loves,verb,2,"the actress likes the movie, but does not love it.",0.25,25.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_019_template3,like/love,like,love,likes,loves,verb,3,"the manager likes spaghetti, but does not love it.",0.25,25.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_020_template1,low/depleted,low,depleted,low,depleted,adj,1,"the energy is low, but not depleted.",0.79,79.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_020_template2,low/depleted,low,depleted,low,depleted,adj,2,"this battery is low, but not depleted.",0.79,79.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_020_template3,low/depleted,low,depleted,low,depleted,adj,3,"the gas is low, but not depleted.",0.79,79.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_022_template1,may/have to,may,have to,may,has to,verb,1,"the child may eat an apple it, but does not have to.",0.71,71.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_022_template2,may/have to,may,have to,may,has to,verb,2,"the boy may watch television, but does not have to.",0.71,71.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_022_template3,may/have to,may,have to,may,has to,verb,3,"the dog may sleep on the bed, but does not have to.",0.71,71.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_021_template1,may/will,may,will,may,will,verb,1,"this lawyer may appear in person, but will not.",0.89,89.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_021_template2,may/will,may,will,may,will,verb,2,"the teacher may come, but will not.",0.89,89.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_021_template3,may/will,may,will,may,will,verb,3,"the student may pass, but will not.",0.89,89.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_023_template1,memorable/unforgettable,memorable,unforgettable,memorable,unforgettable,adj,1,"this party is memorable, but not unforgettable.",0.54,54.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_023_template2,memorable/unforgettable,memorable,unforgettable,memorable,unforgettable,adj,2,"the view is memorable, but not unforgettable.",0.54,54.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_023_template3,memorable/unforgettable,memorable,unforgettable,memorable,unforgettable,adj,3,"this movie is memorable, but not unforgettable.",0.54,54.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_024_template1,old/ancient,old,ancient,old,ancient,adj,1,"that house is old, but not ancient.",0.36,36.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_024_template2,old/ancient,old,ancient,old,ancient,adj,2,"that mirror is old, but not ancient.",0.36,36.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_024_template3,old/ancient,old,ancient,old,ancient,adj,3,"that table is old, but not ancient.",0.36,36.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
vt16,van Tiel et al. (2016),vt16_025_template1,palatable/delicious,palatable,delicious,palatable,delicious,adj,1,"the food is palatable, but not delicious.",0.61,61.0,si_nonneutral,cross-scale/human_data/vt16.csv,True,van Tiel non-neutral template used by Hu et al. cross-scale analysis
